,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
10 - 14,3137,3034,6171,422,446,868,3559,3480,7039,VILLAVERDE / TODOS,01-01-2015,2015
15 - 19,2723,2683,5406,564,545,1109,3287,3228,6515,VILLAVERDE / TODOS,01-01-2015,2015
20 - 24,2882,2843,5725,787,884,1671,3669,3727,7396,VILLAVERDE / TODOS,01-01-2015,2015
25 - 29,2783,2831,5614,1177,1418,2595,3960,4249,8209,VILLAVERDE / TODOS,01-01-2015,2015
30 - 34,3078,3181,6259,1584,1653,3237,4662,4834,9496,VILLAVERDE / TODOS,01-01-2015,2015
35 - 39,4211,4499,8710,1789,1486,3275,6000,5985,11985,VILLAVERDE / TODOS,01-01-2015,2015
40 - 44,4997,5248,10245,1410,1196,2606,6407,6444,12851,VILLAVERDE / TODOS,01-01-2015,2015
45 - 49,4980,5278,10258,1023,885,1908,6003,6163,12166,VILLAVERDE / TODOS,01-01-2015,2015
50 - 54,4597,4710,9307,690,639,1329,5287,5349,10636,VILLAVERDE / TODOS,01-01-2015,2015
55 - 59,3351,3489,6840,388,448,836,3739,3937,7676,VILLAVERDE / TODOS,01-01-2015,2015
60 - 64,2405,2775,5180,166,255,421,2571,3030,5601,VILLAVERDE / TODOS,01-01-2015,2015
65 - 69,2403,3113,5516,74,153,227,2477,3266,5743,VILLAVERDE / TODOS,01-01-2015,2015
70 - 74,2440,3285,5725,32,72,104,2472,3357,5829,VILLAVERDE / TODOS,01-01-2015,2015
75 - 79,2305,3228,5533,24,46,70,2329,3274,5603,VILLAVERDE / TODOS,01-01-2015,2015
80 - 84,2088,3055,5143,16,25,41,2104,3080,5184,VILLAVERDE / TODOS,01-01-2015,2015
85 - 89,911,1645,2556,8,15,23,919,1660,2579,VILLAVERDE / TODOS,01-01-2015,2015
90 - 94,250,596,846,2,4,6,252,600,852,VILLAVERDE / TODOS,01-01-2015,2015
95 - 99,40,124,164,0,2,2,40,126,166,VILLAVERDE / TODOS,01-01-2015,2015
100 o más,2,17,19,0,0,0,2,17,19,VILLAVERDE / TODOS,01-01-2015,2015
Total,43233,45572,88805,5255,5642,10897,48488,51214,99702,VILLA DE VALLECAS / TODOS,01-01-2015,2015
0 - 4,3347,3173,6520,368,399,767,3715,3572,7287,VILLA DE VALLECAS / TODOS,01-01-2015,2015
5 - 9,2803,2520,5323,302,286,588,3105,2806,5911,VILLA DE VALLECAS / TODOS,01-01-2015,2015
10 - 14,2191,2032,4223,233,246,479,2424,2278,4702,VILLA DE VALLECAS / TODOS,01-01-2015,2015
15 - 19,1958,1782,3740,266,243,509,2224,2025,4249,VILLA DE VALLECAS / TODOS,01-01-2015,2015
20 - 24,2083,1967,4050,317,363,680,2400,2330,4730,VILLA DE VALLECAS / TODOS,01-01-2015,2015
25 - 29,2456,2571,5027,561,736,1297,3017,3307,6324,VILLA DE VALLECAS / TODOS,01-01-2015,2015
30 - 34,3721,4248,7969,783,841,1624,4504,5089,9593,VILLA DE VALLECAS / TODOS,01-01-2015,2015
35 - 39,5463,5433,10896,820,741,1561,6283,6174,12457,VILLA DE VALLECAS / TODOS,01-01-2015,2015
40 - 44,4269,4071,8340,611,545,1156,4880,4616,9496,VILLA DE VALLECAS / TODOS,01-01-2015,2015
45 - 49,3131,3230,6361,393,454,847,3524,3684,7208,VILLA DE VALLECAS / TODOS,01-01-2015,2015
50 - 54,2813,3202,6015,250,301,551,3063,3503,6566,VILLA DE VALLECAS / TODOS,01-01-2015,2015
55 - 59,2321,2491,4812,168,215,383,2489,2706,5195,VILLA DE VALLECAS / TODOS,01-01-2015,2015
60 - 64,1773,2033,3806,97,123,220,1870,2156,4026,VILLA DE VALLECAS / TODOS,01-01-2015,2015
65 - 69,1683,1847,3530,40,58,98,1723,1905,3628,VILLA DE VALLECAS / TODOS,01-01-2015,2015
70 - 74,1142,1421,2563,21,44,65,1163,1465,2628,VILLA DE VALLECAS / TODOS,01-01-2015,2015
75 - 79,896,1276,2172,12,21,33,908,1297,2205,VILLA DE VALLECAS / TODOS,01-01-2015,2015
80 - 84,715,1172,1887,8,11,19,723,1183,1906,VILLA DE VALLECAS / TODOS,01-01-2015,2015
85 - 89,323,702,1025,5,12,17,328,714,1042,VILLA DE VALLECAS / TODOS,01-01-2015,2015
90 - 94,128,321,449,0,2,2,128,323,451,VILLA DE VALLECAS / TODOS,01-01-2015,2015
95 - 99,16,68,84,0,1,1,16,69,85,VILLA DE VALLECAS / TODOS,01-01-2015,2015
100 o más,1,12,13,0,0,0,1,12,13,VILLA DE VALLECAS / TODOS,01-01-2015,2015
Total,29968,31697,61665,3819,3976,7795,33787,35673,69460,VICALVARO / TODOS,01-01-2015,2015
0 - 4,1779,1714,3493,269,260,529,2048,1974,4022,VICALVARO / TODOS,01-01-2015,2015
5 - 9,2437,2281,4718,170,193,363,2607,2474,5081,VICALVARO / TODOS,01-01-2015,2015
10 - 14,1925,1932,3857,179,142,321,2104,2074,4178,VICALVARO / TODOS,01-01-2015,2015
15 - 19,1620,1517,3137,195,182,377,1815,1699,3514,VICALVARO / TODOS,01-01-2015,2015
20 - 24,1398,1314,2712,311,341,652,1709,1655,3364,VICALVARO / TODOS,01-01-2015,2015
25 - 29,1186,1168,2354,380,493,873,1566,1661,3227,VICALVARO / TODOS,01-01-2015,2015
30 - 34,1406,1501,2907,526,615,1141,1932,2116,4048,VICALVARO / TODOS,01-01-2015,2015
35 - 39,2440,2685,5125,555,496,1051,2995,3181,6176,VICALVARO / TODOS,01-01-2015,2015
40 - 44,3447,3538,6985,441,371,812,3888,3909,7797,VICALVARO / TODOS,01-01-2015,2015
45 - 49,3006,3155,6161,315,316,631,3321,3471,6792,VICALVARO / TODOS,01-01-2015,2015
50 - 54,2540,2468,5008,207,236,443,2747,2704,5451,VICALVARO / TODOS,01-01-2015,2015
55 - 59,1548,1634,3182,138,150,288,1686,1784,3470,VICALVARO / TODOS,01-01-2015,2015
60 - 64,1029,1145,2174,72,87,159,1101,1232,2333,VICALVARO / TODOS,01-01-2015,2015
65 - 69,967,1334,2301,32,30,62,999,1364,2363,VICALVARO / TODOS,01-01-2015,2015
70 - 74,1129,1463,2592,7,33,40,1136,1496,2632,VICALVARO / TODOS,01-01-2015,2015
75 - 79,971,1184,2155,15,13,28,986,1197,2183,VICALVARO / TODOS,01-01-2015,2015
80 - 84,726,908,1634,6,10,16,732,918,1650,VICALVARO / TODOS,01-01-2015,2015
85 - 89,312,504,816,1,5,6,313,509,822,VICALVARO / TODOS,01-01-2015,2015
90 - 94,86,198,284,0,2,2,86,200,286,VICALVARO / TODOS,01-01-2015,2015
95 - 99,15,44,59,0,1,1,15,45,60,VICALVARO / TODOS,01-01-2015,2015
100 o más,1,10,11,0,0,0,1,10,11,VICALVARO / TODOS,01-01-2015,2015
Total,65265,72432,137697,7121,7962,15083,72386,80394,152780,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
0 - 4,3073,2934,6007,434,401,835,3507,3335,6842,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
5 - 9,3988,3890,7878,269,341,610,4257,4231,8488,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
10 - 14,4188,3915,8103,257,302,559,4445,4217,8662,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
15 - 19,3256,3162,6418,345,366,711,3601,3528,7129,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
20 - 24,3228,3027,6255,436,567,1003,3664,3594,7258,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
25 - 29,3206,3158,6364,772,1036,1808,3978,4194,8172,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
30 - 34,3592,3569,7161,1076,1251,2327,4668,4820,9488,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
35 - 39,4547,4934,9481,1111,1096,2207,5658,6030,11688,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
40 - 44,5755,6387,12142,837,811,1648,6592,7198,13790,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
45 - 49,6542,6839,13381,641,609,1250,7183,7448,14631,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
50 - 54,5891,6060,11951,415,453,868,6306,6513,12819,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
55 - 59,4417,4698,9115,241,293,534,4658,4991,9649,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
60 - 64,3017,3442,6459,151,206,357,3168,3648,6816,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
65 - 69,2641,3138,5779,71,114,185,2712,3252,5964,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
70 - 74,2168,2944,5112,30,54,84,2198,2998,5196,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
75 - 79,2077,3319,5396,19,35,54,2096,3354,5450,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
80 - 84,2202,3596,5798,13,19,32,2215,3615,5830,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
85 - 89,1100,2330,3430,3,6,9,1103,2336,3439,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
90 - 94,337,906,1243,0,2,2,337,908,1245,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
95 - 99,34,147,181,0,0,0,34,147,181,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
100 o más,6,37,43,0,0,0,6,37,43,SAN BLAS-CANILLEJAS / TODOS,01-01-2015,2015
Total,20462,21306,41768,1788,2256,4044,22250,23562,45812,BARAJAS / TODOS,01-01-2015,2015
0 - 4,1254,1109,2363,101,112,213,1355,1221,2576,BARAJAS / TODOS,01-01-2015,2015
5 - 9,1392,1257,2649,96,79,175,1488,1336,2824,BARAJAS / TODOS,01-01-2015,2015
10 - 14,1265,1099,2364,93,74,167,1358,1173,2531,BARAJAS / TODOS,01-01-2015,2015
15 - 19,938,885,1823,96,78,174,1034,963,1997,BARAJAS / TODOS,01-01-2015,2015
20 - 24,857,801,1658,96,121,217,953,922,1875,BARAJAS / TODOS,01-01-2015,2015
25 - 29,957,958,1915,153,245,398,1110,1203,2313,BARAJAS / TODOS,01-01-2015,2015
30 - 34,1447,1342,2789,201,368,569,1648,1710,3358,BARAJAS / TODOS,01-01-2015,2015
35 - 39,1784,1819,3603,278,347,625,2062,2166,4228,BARAJAS / TODOS,01-01-2015,2015
40 - 44,1954,2056,4010,220,253,473,2174,2309,4483,BARAJAS / TODOS,01-01-2015,2015
45 - 49,1700,1787,3487,182,180,362,1882,1967,3849,BARAJAS / TODOS,01-01-2015,2015
50 - 54,1454,1554,3008,108,128,236,1562,1682,3244,BARAJAS / TODOS,01-01-2015,2015
55 - 59,1149,1199,2348,63,95,158,1212,1294,2506,BARAJAS / TODOS,01-01-2015,2015
60 - 64,988,1283,2271,33,59,92,1021,1342,2363,BARAJAS / TODOS,01-01-2015,2015
65 - 69,1135,1391,2526,34,55,89,1169,1446,2615,BARAJAS / TODOS,01-01-2015,2015
70 - 74,928,1039,1967,10,28,38,938,1067,2005,BARAJAS / TODOS,01-01-2015,2015
75 - 79,593,619,1212,12,15,27,605,634,1239,BARAJAS / TODOS,01-01-2015,2015
80 - 84,384,529,913,9,9,18,393,538,931,BARAJAS / TODOS,01-01-2015,2015
85 - 89,182,334,516,2,7,9,184,341,525,BARAJAS / TODOS,01-01-2015,2015
90 - 94,91,187,278,0,1,1,91,188,279,BARAJAS / TODOS,01-01-2015,2015
95 - 99,9,47,56,1,1,2,10,48,58,BARAJAS / TODOS,01-01-2015,2015
100 o más,1,11,12,0,1,1,1,12,13,BARAJAS / TODOS,01-01-2015,2015
Total,50790,54126,104916,15147,13070,28217,65937,67196,133133,CENTRO / TODOS,01-01-2016,2016
0 - 4,1626,1574,3200,487,467,954,2113,2041,4154,CENTRO / TODOS,01-01-2016,2016
5 - 9,1568,1549,3117,299,305,604,1867,1854,3721,CENTRO / TODOS,01-01-2016,2016
10 - 14,1429,1372,2801,222,214,436,1651,1586,3237,CENTRO / TODOS,01-01-2016,2016
15 - 19,1313,1271,2584,363,282,645,1676,1553,3229,CENTRO / TODOS,01-01-2016,2016
20 - 24,1733,1657,3390,1161,1431,2592,2894,3088,5982,CENTRO / TODOS,01-01-2016,2016
25 - 29,3248,3414,6662,2260,2434,4694,5508,5848,11356,CENTRO / TODOS,01-01-2016,2016
30 - 34,5006,4886,9892,2767,2333,5100,7773,7219,14992,CENTRO / TODOS,01-01-2016,2016
35 - 39,5875,5176,11051,2512,1734,4246,8387,6910,15297,CENTRO / TODOS,01-01-2016,2016
40 - 44,5472,4650,10122,1787,1142,2929,7259,5792,13051,CENTRO / TODOS,01-01-2016,2016
45 - 49,4841,4086,8927,1290,844,2134,6131,4930,11061,CENTRO / TODOS,01-01-2016,2016
50 - 54,4298,4116,8414,841,645,1486,5139,4761,9900,CENTRO / TODOS,01-01-2016,2016
55 - 59,3649,3902,7551,516,453,969,4165,4355,8520,CENTRO / TODOS,01-01-2016,2016
60 - 64,2837,3268,6105,296,326,622,3133,3594,6727,CENTRO / TODOS,01-01-2016,2016
65 - 69,2309,2812,5121,160,212,372,2469,3024,5493,CENTRO / TODOS,01-01-2016,2016
70 - 74,1851,2449,4300,93,118,211,1944,2567,4511,CENTRO / TODOS,01-01-2016,2016
75 - 79,1341,2234,3575,50,63,113,1391,2297,3688,CENTRO / TODOS,01-01-2016,2016
80 - 84,1187,2371,3558,28,35,63,1215,2406,3621,CENTRO / TODOS,01-01-2016,2016
85 - 89,833,1948,2781,12,19,31,845,1967,2812,CENTRO / TODOS,01-01-2016,2016
90 - 94,301,1019,1320,2,10,12,303,1029,1332,CENTRO / TODOS,01-01-2016,2016
95 - 99,62,317,379,1,3,4,63,320,383,CENTRO / TODOS,01-01-2016,2016
100 o más,11,55,66,0,0,0,11,55,66,CENTRO / TODOS,01-01-2016,2016
Total,63419,73846,137265,6918,7718,14636,70337,81564,151901,ARGANZUELA / TODOS,01-01-2016,2016
0 - 4,3118,2849,5967,348,313,661,3466,3162,6628,ARGANZUELA / TODOS,01-01-2016,2016
5 - 9,2799,2964,5763,184,198,382,2983,3162,6145,ARGANZUELA / TODOS,01-01-2016,2016
10 - 14,2859,2731,5590,175,170,345,3034,2901,5935,ARGANZUELA / TODOS,01-01-2016,2016
15 - 19,2715,2624,5339,208,248,456,2923,2872,5795,ARGANZUELA / TODOS,01-01-2016,2016
20 - 24,2774,2665,5439,482,638,1120,3256,3303,6559,ARGANZUELA / TODOS,01-01-2016,2016
25 - 29,3438,3627,7065,785,1127,1912,4223,4754,8977,ARGANZUELA / TODOS,01-01-2016,2016
30 - 34,5038,5144,10182,1157,1367,2524,6195,6511,12706,ARGANZUELA / TODOS,01-01-2016,2016
35 - 39,5713,5884,11597,1170,1070,2240,6883,6954,13837,ARGANZUELA / TODOS,01-01-2016,2016
40 - 44,5292,5805,11097,817,753,1570,6109,6558,12667,ARGANZUELA / TODOS,01-01-2016,2016
45 - 49,5354,5732,11086,611,621,1232,5965,6353,12318,ARGANZUELA / TODOS,01-01-2016,2016
50 - 54,5232,6006,11238,413,439,852,5645,6445,12090,ARGANZUELA / TODOS,01-01-2016,2016
55 - 59,4709,5797,10506,257,301,558,4966,6098,11064,ARGANZUELA / TODOS,01-01-2016,2016
60 - 64,3862,4833,8695,151,214,365,4013,5047,9060,ARGANZUELA / TODOS,01-01-2016,2016
65 - 69,3202,4070,7272,72,136,208,3274,4206,7480,ARGANZUELA / TODOS,01-01-2016,2016
70 - 74,2379,3340,5719,42,55,97,2421,3395,5816,ARGANZUELA / TODOS,01-01-2016,2016
75 - 79,1766,2858,4624,21,24,45,1787,2882,4669,ARGANZUELA / TODOS,01-01-2016,2016
80 - 84,1625,2985,4610,12,26,38,1637,3011,4648,ARGANZUELA / TODOS,01-01-2016,2016
85 - 89,1027,2277,3304,7,11,18,1034,2288,3322,ARGANZUELA / TODOS,01-01-2016,2016
90 - 94,429,1245,1674,4,7,11,433,1252,1685,ARGANZUELA / TODOS,01-01-2016,2016
95 - 99,79,357,436,1,0,1,80,357,437,ARGANZUELA / TODOS,01-01-2016,2016
100 o más,9,53,62,1,0,1,10,53,63,ARGANZUELA / TODOS,01-01-2016,2016
Total,50273,60508,110781,3410,4640,8050,53683,65148,118831,RETIRO / TODOS,01-01-2016,2016
0 - 4,2271,2261,4532,147,135,282,2418,2396,4814,RETIRO / TODOS,01-01-2016,2016
5 - 9,2230,2210,4440,110,107,217,2340,2317,4657,RETIRO / TODOS,01-01-2016,2016
10 - 14,2155,2133,4288,87,77,164,2242,2210,4452,RETIRO / TODOS,01-01-2016,2016
15 - 19,2110,2036,4146,93,113,206,2203,2149,4352,RETIRO / TODOS,01-01-2016,2016
20 - 24,2275,2291,4566,262,378,640,2537,2669,5206,RETIRO / TODOS,01-01-2016,2016
25 - 29,2764,2778,5542,460,711,1171,3224,3489,6713,RETIRO / TODOS,01-01-2016,2016
30 - 34,3467,3543,7010,507,739,1246,3974,4282,8256,RETIRO / TODOS,01-01-2016,2016
35 - 39,3813,4005,7818,481,612,1093,4294,4617,8911,RETIRO / TODOS,01-01-2016,2016
40 - 44,3907,4057,7964,359,453,812,4266,4510,8776,RETIRO / TODOS,01-01-2016,2016
45 - 49,3614,3947,7561,304,408,712,3918,4355,8273,RETIRO / TODOS,01-01-2016,2016
50 - 54,3696,4257,7953,191,275,466,3887,4532,8419,RETIRO / TODOS,01-01-2016,2016
55 - 59,3474,4487,7961,141,225,366,3615,4712,8327,RETIRO / TODOS,01-01-2016,2016
60 - 64,3256,4524,7780,75,155,230,3331,4679,8010,RETIRO / TODOS,01-01-2016,2016
65 - 69,3135,4241,7376,58,91,149,3193,4332,7525,RETIRO / TODOS,01-01-2016,2016
70 - 74,2747,3718,6465,60,74,134,2807,3792,6599,RETIRO / TODOS,01-01-2016,2016
75 - 79,2024,3065,5089,41,37,78,2065,3102,5167,RETIRO / TODOS,01-01-2016,2016
80 - 84,1730,2971,4701,21,23,44,1751,2994,4745,RETIRO / TODOS,01-01-2016,2016
85 - 89,1058,2363,3421,8,13,21,1066,2376,3442,RETIRO / TODOS,01-01-2016,2016
90 - 94,441,1224,1665,5,8,13,446,1232,1678,RETIRO / TODOS,01-01-2016,2016
95 - 99,97,326,423,0,5,5,97,331,428,RETIRO / TODOS,01-01-2016,2016
100 o más,9,71,80,0,1,1,9,72,81,RETIRO / TODOS,01-01-2016,2016
Total,56152,70911,127063,6995,9661,16656,63147,80572,143719,SALAMANCA / TODOS,01-01-2016,2016
0 - 4,2473,2519,4992,284,286,570,2757,2805,5562,SALAMANCA / TODOS,01-01-2016,2016
5 - 9,2394,2278,4672,197,171,368,2591,2449,5040,SALAMANCA / TODOS,01-01-2016,2016
10 - 14,2273,2292,4565,162,155,317,2435,2447,4882,SALAMANCA / TODOS,01-01-2016,2016
15 - 19,2327,2251,4578,192,184,376,2519,2435,4954,SALAMANCA / TODOS,01-01-2016,2016
20 - 24,2554,2552,5106,594,822,1416,3148,3374,6522,SALAMANCA / TODOS,01-01-2016,2016
25 - 29,3560,3809,7369,1174,2020,3194,4734,5829,10563,SALAMANCA / TODOS,01-01-2016,2016
30 - 34,4160,4613,8773,1212,1658,2870,5372,6271,11643,SALAMANCA / TODOS,01-01-2016,2016
35 - 39,4441,4701,9142,904,1128,2032,5345,5829,11174,SALAMANCA / TODOS,01-01-2016,2016
40 - 44,4125,4674,8799,654,815,1469,4779,5489,10268,SALAMANCA / TODOS,01-01-2016,2016
45 - 49,4017,4677,8694,455,650,1105,4472,5327,9799,SALAMANCA / TODOS,01-01-2016,2016
50 - 54,4207,5081,9288,384,562,946,4591,5643,10234,SALAMANCA / TODOS,01-01-2016,2016
55 - 59,3965,5123,9088,261,430,691,4226,5553,9779,SALAMANCA / TODOS,01-01-2016,2016
60 - 64,3490,4713,8203,154,301,455,3644,5014,8658,SALAMANCA / TODOS,01-01-2016,2016
65 - 69,3207,4632,7839,126,210,336,3333,4842,8175,SALAMANCA / TODOS,01-01-2016,2016
70 - 74,2840,4143,6983,97,110,207,2937,4253,7190,SALAMANCA / TODOS,01-01-2016,2016
75 - 79,2023,3699,5722,69,70,139,2092,3769,5861,SALAMANCA / TODOS,01-01-2016,2016
80 - 84,2034,3822,5856,41,32,73,2075,3854,5929,SALAMANCA / TODOS,01-01-2016,2016
85 - 89,1353,3031,4384,23,28,51,1376,3059,4435,SALAMANCA / TODOS,01-01-2016,2016
90 - 94,560,1700,2260,9,20,29,569,1720,2289,SALAMANCA / TODOS,01-01-2016,2016
95 - 99,123,479,602,2,5,7,125,484,609,SALAMANCA / TODOS,01-01-2016,2016
100 o más,26,122,148,1,4,5,27,126,153,SALAMANCA / TODOS,01-01-2016,2016
Total,59086,71373,130459,5051,7559,12610,64137,78932,143069,CHAMARTIN / TODOS,01-01-2016,2016
0 - 4,3054,3004,6058,254,206,460,3308,3210,6518,CHAMARTIN / TODOS,01-01-2016,2016
5 - 9,2948,2882,5830,154,163,317,3102,3045,6147,CHAMARTIN / TODOS,01-01-2016,2016
10 - 14,2656,2657,5313,136,155,291,2792,2812,5604,CHAMARTIN / TODOS,01-01-2016,2016
15 - 19,2614,2520,5134,164,192,356,2778,2712,5490,CHAMARTIN / TODOS,01-01-2016,2016
20 - 24,2973,2870,5843,285,472,757,3258,3342,6600,CHAMARTIN / TODOS,01-01-2016,2016
25 - 29,3497,3488,6985,628,1110,1738,4125,4598,8723,CHAMARTIN / TODOS,01-01-2016,2016
30 - 34,4271,4356,8627,766,1183,1949,5037,5539,10576,CHAMARTIN / TODOS,01-01-2016,2016
35 - 39,4578,4791,9369,711,1003,1714,5289,5794,11083,CHAMARTIN / TODOS,01-01-2016,2016
40 - 44,4462,5010,9472,535,740,1275,4997,5750,10747,CHAMARTIN / TODOS,01-01-2016,2016
45 - 49,4185,4750,8935,426,663,1089,4611,5413,10024,CHAMARTIN / TODOS,01-01-2016,2016
50 - 54,4284,5206,9490,313,542,855,4597,5748,10345,CHAMARTIN / TODOS,01-01-2016,2016
55 - 59,3928,5016,8944,207,389,596,4135,5405,9540,CHAMARTIN / TODOS,01-01-2016,2016
60 - 64,3510,4606,8116,143,246,389,3653,4852,8505,CHAMARTIN / TODOS,01-01-2016,2016
65 - 69,3253,4511,7764,90,163,253,3343,4674,8017,CHAMARTIN / TODOS,01-01-2016,2016
70 - 74,2796,4152,6948,84,121,205,2880,4273,7153,CHAMARTIN / TODOS,01-01-2016,2016
75 - 79,2182,3520,5702,65,76,141,2247,3596,5843,CHAMARTIN / TODOS,01-01-2016,2016
80 - 84,1938,3449,5387,49,58,107,1987,3507,5494,CHAMARTIN / TODOS,01-01-2016,2016
85 - 89,1258,2683,3941,26,38,64,1284,2721,4005,CHAMARTIN / TODOS,01-01-2016,2016
90 - 94,580,1428,2008,9,28,37,589,1456,2045,CHAMARTIN / TODOS,01-01-2016,2016
95 - 99,104,399,503,5,9,14,109,408,517,CHAMARTIN / TODOS,01-01-2016,2016
100 o más,15,75,90,1,2,3,16,77,93,CHAMARTIN / TODOS,01-01-2016,2016
Total,57919,69057,126976,11516,14584,26100,69435,83641,153076,TETUAN / TODOS,01-01-2016,2016
0 - 4,2579,2425,5004,588,577,1165,3167,3002,6169,TETUAN / TODOS,01-01-2016,2016
5 - 9,2588,2454,5042,403,342,745,2991,2796,5787,TETUAN / TODOS,01-01-2016,2016
10 - 14,2348,2296,4644,384,377,761,2732,2673,5405,TETUAN / TODOS,01-01-2016,2016
15 - 19,2332,2197,4529,508,518,1026,2840,2715,5555,TETUAN / TODOS,01-01-2016,2016
20 - 24,2660,2526,5186,868,1216,2084,3528,3742,7270,TETUAN / TODOS,01-01-2016,2016
25 - 29,3797,3875,7672,1380,2155,3535,5177,6030,11207,TETUAN / TODOS,01-01-2016,2016
30 - 34,4959,4856,9815,1781,2550,4331,6740,7406,14146,TETUAN / TODOS,01-01-2016,2016
35 - 39,4921,4955,9876,1687,1975,3662,6608,6930,13538,TETUAN / TODOS,01-01-2016,2016
40 - 44,4721,5100,9821,1328,1448,2776,6049,6548,12597,TETUAN / TODOS,01-01-2016,2016
45 - 49,4492,4957,9449,996,1143,2139,5488,6100,11588,TETUAN / TODOS,01-01-2016,2016
50 - 54,4285,5301,9586,655,821,1476,4940,6122,11062,TETUAN / TODOS,01-01-2016,2016
55 - 59,3973,4995,8968,416,599,1015,4389,5594,9983,TETUAN / TODOS,01-01-2016,2016
60 - 64,3127,4174,7301,240,380,620,3367,4554,7921,TETUAN / TODOS,01-01-2016,2016
65 - 69,2787,3897,6684,132,197,329,2919,4094,7013,TETUAN / TODOS,01-01-2016,2016
70 - 74,2371,3561,5932,64,130,194,2435,3691,6126,TETUAN / TODOS,01-01-2016,2016
75 - 79,1993,3246,5239,42,83,125,2035,3329,5364,TETUAN / TODOS,01-01-2016,2016
80 - 84,1990,3642,5632,24,42,66,2014,3684,5698,TETUAN / TODOS,01-01-2016,2016
85 - 89,1349,2860,4209,15,22,37,1364,2882,4246,TETUAN / TODOS,01-01-2016,2016
90 - 94,548,1364,1912,4,6,10,552,1370,1922,TETUAN / TODOS,01-01-2016,2016
95 - 99,90,326,416,1,3,4,91,329,420,TETUAN / TODOS,01-01-2016,2016
100 o más,9,50,59,0,0,0,9,50,59,TETUAN / TODOS,01-01-2016,2016
Total,54166,69481,123647,6148,8258,14406,60314,77739,138053,CHAMBERI / TODOS,01-01-2016,2016
0 - 4,2335,2286,4621,239,231,470,2574,2517,5091,CHAMBERI / TODOS,01-01-2016,2016
5 - 9,2160,2115,4275,169,169,338,2329,2284,4613,CHAMBERI / TODOS,01-01-2016,2016
10 - 14,2082,2096,4178,158,160,318,2240,2256,4496,CHAMBERI / TODOS,01-01-2016,2016
15 - 19,2155,2101,4256,175,209,384,2330,2310,4640,CHAMBERI / TODOS,01-01-2016,2016
20 - 24,2523,2488,5011,541,865,1406,3064,3353,6417,CHAMBERI / TODOS,01-01-2016,2016
25 - 29,3646,4024,7670,916,1389,2305,4562,5413,9975,CHAMBERI / TODOS,01-01-2016,2016
30 - 34,4470,4943,9413,1039,1409,2448,5509,6352,11861,CHAMBERI / TODOS,01-01-2016,2016
35 - 39,4436,4689,9125,852,983,1835,5288,5672,10960,CHAMBERI / TODOS,01-01-2016,2016
40 - 44,4134,4547,8681,629,756,1385,4763,5303,10066,CHAMBERI / TODOS,01-01-2016,2016
45 - 49,3712,4305,8017,461,596,1057,4173,4901,9074,CHAMBERI / TODOS,01-01-2016,2016
50 - 54,3818,4816,8634,352,470,822,4170,5286,9456,CHAMBERI / TODOS,01-01-2016,2016
55 - 59,3726,4873,8599,229,394,623,3955,5267,9222,CHAMBERI / TODOS,01-01-2016,2016
60 - 64,3390,4834,8224,156,270,426,3546,5104,8650,CHAMBERI / TODOS,01-01-2016,2016
65 - 69,3224,4497,7721,84,146,230,3308,4643,7951,CHAMBERI / TODOS,01-01-2016,2016
70 - 74,2677,4206,6883,67,87,154,2744,4293,7037,CHAMBERI / TODOS,01-01-2016,2016
75 - 79,1934,3438,5372,35,47,82,1969,3485,5454,CHAMBERI / TODOS,01-01-2016,2016
80 - 84,1797,3702,5499,23,43,66,1820,3745,5565,CHAMBERI / TODOS,01-01-2016,2016
85 - 89,1265,3086,4351,13,20,33,1278,3106,4384,CHAMBERI / TODOS,01-01-2016,2016
90 - 94,545,1756,2301,6,9,15,551,1765,2316,CHAMBERI / TODOS,01-01-2016,2016
95 - 99,120,537,657,2,3,5,122,540,662,CHAMBERI / TODOS,01-01-2016,2016
100 o más,17,142,159,2,2,4,19,144,163,CHAMBERI / TODOS,01-01-2016,2016
