district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Usera,2011,65-84,8392,12553,20945,405,21350,9564,13703,23267,291,23558,0.87745713090757,0.9160767715098883,0.9002020028366355,1.3917525773195876,0.9062738772391544
Usera,2012,65-84,8177,12333,20510,401,20911,9564,13703,23267,291,23558,0.8549769970723546,0.9000218930161279,0.8815059956161087,1.3780068728522337,0.8876390185924102
Usera,2013,65-84,8041,12147,20188,425,20613,9564,13703,23267,291,23558,0.8407570054370557,0.8864482230168577,0.8676666523402243,1.4604810996563573,0.8749893878937092
Usera,2014,65-84,7976,11972,19948,431,20379,9564,13703,23267,291,23558,0.8339606859054789,0.8736772969422754,0.8573516138737267,1.4810996563573884,0.8650564564054674
Usera,2015,65-84,7828,11744,19572,428,20000,9564,13703,23267,291,23558,0.8184859891258888,0.8570386046851054,0.8411913869428804,1.470790378006873,0.8489685032685287
Usera,2016,65-84,7644,11442,19086,462,19548,9564,13703,23267,291,23558,0.7992471769134254,0.8349996351163979,0.8203034340482228,1.5876288659793814,0.82978181509466
Usera,2017,65-84,7424,11111,18535,559,19094,9564,13703,23267,291,23558,0.7762442492680887,0.810844340655331,0.796621824902222,1.9209621993127148,0.8105102300704644
Usera,2004,85-100,661,1700,2361,18,2379,661,1700,2361,18,2379,1.0,1.0,1.0,1.0,1.0
Usera,2005,85-100,671,1778,2449,17,2466,661,1700,2361,18,2379,1.0151285930408471,1.0458823529411765,1.0372723422278696,0.9444444444444444,1.0365699873896594
Usera,2006,85-100,764,1915,2679,23,2702,661,1700,2361,18,2379,1.1558245083207261,1.1264705882352941,1.1346886912325287,1.2777777777777777,1.135771332492644
Usera,2007,85-100,915,2180,3095,19,3114,661,1700,2361,18,2379,1.384266263237519,1.2823529411764707,1.3108852181279118,1.0555555555555556,1.308953341740227
Usera,2008,85-100,904,2129,3033,20,3053,661,1700,2361,18,2379,1.367624810892587,1.2523529411764707,1.2846251588310038,1.1111111111111112,1.2833123160992013
Usera,2009,85-100,969,2307,3276,20,3296,661,1700,2361,18,2379,1.4659606656580937,1.3570588235294119,1.3875476493011436,1.1111111111111112,1.385456073980664
Usera,2010,85-100,1031,2443,3474,20,3494,661,1700,2361,18,2379,1.5597579425113464,1.4370588235294117,1.47141041931385,1.1111111111111112,1.4686843211433376
Usera,2011,85-100,1107,2525,3632,15,3647,661,1700,2361,18,2379,1.674735249621785,1.4852941176470589,1.5383312155866158,0.8333333333333334,1.5329970575872216
Usera,2012,85-100,1178,2683,3861,19,3880,661,1700,2361,18,2379,1.7821482602118004,1.578235294117647,1.6353240152477764,1.0555555555555556,1.6309373686422868
Usera,2013,85-100,1231,2822,4053,22,4075,661,1700,2361,18,2379,1.8623298033282905,1.66,1.7166454891994918,1.2222222222222223,1.7129045817570407
Usera,2014,85-100,1318,2902,4220,27,4247,661,1700,2361,18,2379,1.993948562783661,1.7070588235294117,1.7873782295637441,1.5,1.7852038671710804
Usera,2015,85-100,1391,3046,4437,26,4463,661,1700,2361,18,2379,2.104387291981846,1.791764705882353,1.8792884371029226,1.4444444444444444,1.8759983186212694
Usera,2016,85-100,1477,3191,4668,27,4695,661,1700,2361,18,2379,2.2344931921331317,1.8770588235294117,1.97712833545108,1.5,1.9735182849936947
Usera,2017,85-100,1593,3350,4943,31,4974,661,1700,2361,18,2379,2.409984871406959,1.9705882352941178,2.0936044049131723,1.7222222222222223,2.090794451450189
Usera,2004,Total,51436,57084,108520,21286,129806,51436,57084,108520,21286,129806,1.0,1.0,1.0,1.0,1.0
Usera,2005,Total,51291,56976,108267,25220,133487,51436,57084,108520,21286,129806,0.997180962749825,0.9981080512928316,0.9976686325101364,1.1848163111904537,1.028357703033758
Usera,2006,Total,50973,56964,107937,29396,137333,51436,57084,108520,21286,129806,0.9909985224356482,0.9978978347698129,0.994627718392923,1.381001597293996,1.057986533750366
Usera,2007,Total,50266,56385,106651,29643,136294,51436,57084,108520,21286,129806,0.9772532856365191,0.9877548875341602,0.982777368227055,1.3926054683829747,1.0499822812504815
Usera,2008,Total,50407,56621,107028,33034,140062,51436,57084,108520,21286,129806,0.9799945563418617,0.9918891458201948,0.9862513822336897,1.5519120548717467,1.0790102152442875
Usera,2009,Total,50490,56855,107345,34611,141956,51436,57084,108520,21286,129806,0.9816082121471343,0.9959883680190597,0.9891725027644673,1.6259983087475336,1.0936012202825756
Usera,2010,Total,50513,56928,107441,34974,142415,51436,57084,108520,21286,129806,0.9820553697799207,0.9972671852007567,0.9900571323258386,1.6430517711171662,1.0971372663821395
Usera,2011,Total,50564,57020,107584,33725,141309,51436,57084,108520,21286,129806,0.9830468932265339,0.9988788452105669,0.991374861776631,1.5843747063797802,1.0886168590049767
Usera,2012,Total,50578,57325,107903,30737,138640,51436,57084,108520,21286,129806,0.9833190761334474,1.0042218485039591,0.9943144120899373,1.4440007516677629,1.068055405759364
Usera,2013,Total,50785,57730,108515,28109,136624,51436,57084,108520,21286,129806,0.9873434948285248,1.0113166561558404,0.9999539255436786,1.320539321619844,1.052524536616181
Usera,2014,Total,50773,57787,108560,25594,134154,51436,57084,108520,21286,129806,0.9871101951940275,1.0123151846401794,1.0003685956505712,1.202386545147045,1.0334961403941265
Usera,2015,Total,50921,58296,109217,23818,133035,51436,57084,108520,21286,129806,0.9899875573528268,1.0212318688248896,1.0064227792112053,1.118951423470826,1.0248755835631636
Usera,2016,Total,51202,58523,109725,24675,134400,51436,57084,108520,21286,129806,0.9954506571273039,1.0252084647186601,1.011103943973461,1.1592126280184158,1.0353912762121935
Usera,2017,Total,50952,58227,109179,26010,135189,51436,57084,108520,21286,129806,0.9905902480752781,1.0200231238175321,1.0060726133431626,1.2219299069811143,1.0414695776774572
Vicálvaro,2004,0-24,4300,4036,8336,1510,9846,4300,4036,8336,1510,9846,1.0,1.0,1.0,1.0,1.0
Vicálvaro,2005,0-24,4306,4011,8317,1796,10113,4300,4036,8336,1510,9846,1.0013953488372094,0.9938057482656095,0.9977207293666027,1.1894039735099338,1.0271176112126752
Vicálvaro,2006,0-24,4301,3990,8291,1963,10254,4300,4036,8336,1510,9846,1.0002325581395348,0.9886025768087215,0.9946017274472169,1.3,1.0414381474710543
Vicálvaro,2007,0-24,4006,3745,7751,1898,9649,4300,4036,8336,1510,9846,0.9316279069767441,0.9278989098116948,0.9298224568138196,1.256953642384106,0.9799918748730448
Vicálvaro,2008,0-24,3964,3760,7724,2411,10135,4300,4036,8336,1510,9846,0.9218604651162791,0.931615460852329,0.9265834932821497,1.5966887417218543,1.02935202112533
Vicálvaro,2009,0-24,4050,3788,7838,2476,10314,4300,4036,8336,1510,9846,0.9418604651162791,0.9385530227948464,0.9402591170825336,1.6397350993377484,1.0475319926873858
Vicálvaro,2010,0-24,4107,3844,7951,2407,10358,4300,4036,8336,1510,9846,0.9551162790697675,0.9524281466798811,0.9538147792706334,1.5940397350993378,1.0520008125126956
Vicálvaro,2011,0-24,4255,4013,8268,2295,10563,4300,4036,8336,1510,9846,0.9895348837209302,0.9943012884043607,0.9918426103646834,1.5198675496688743,1.0728214503351614
Vicálvaro,2012,0-24,4408,4176,8584,1983,10567,4300,4036,8336,1510,9846,1.0251162790697674,1.0346878097125867,1.0297504798464492,1.3132450331125827,1.073227706682917
Vicálvaro,2013,0-24,4530,4343,8873,1744,10617,4300,4036,8336,1510,9846,1.0534883720930233,1.0760654112983152,1.0644193857965452,1.1549668874172185,1.0783059110298598
Vicálvaro,2014,0-24,4687,4556,9243,1540,10783,4300,4036,8336,1510,9846,1.09,1.1288404360753221,1.1088051823416507,1.0198675496688743,1.0951655494617103
Vicálvaro,2015,0-24,4943,4763,9706,1350,11056,4300,4036,8336,1510,9846,1.1495348837209303,1.1801288404360752,1.1643474088291748,0.8940397350993378,1.1228925451960188
Vicálvaro,2016,0-24,5153,4974,10127,1287,11414,4300,4036,8336,1510,9846,1.1983720930232558,1.232408325074331,1.2148512476007678,0.8523178807947019,1.15925248832013
Vicálvaro,2017,0-24,5370,5214,10584,1269,11853,4300,4036,8336,1510,9846,1.2488372093023257,1.2918731417244798,1.2696737044145874,0.8403973509933775,1.2038391224862888
Vicálvaro,2004,25-39,8441,8286,16727,2830,19557,8441,8286,16727,2830,19557,1.0,1.0,1.0,1.0,1.0
Vicálvaro,2005,25-39,8447,8472,16919,3548,20467,8441,8286,16727,2830,19557,1.0007108162539984,1.0224475018102823,1.0114784480181742,1.2537102473498234,1.046530653985785
Vicálvaro,2006,25-39,8417,8427,16844,4256,21100,8441,8286,16727,2830,19557,0.9971567349840066,1.0170166545981174,1.0069946792610749,1.503886925795053,1.0788975814286446
Vicálvaro,2007,25-39,8022,8017,16039,4532,20571,8441,8286,16727,2830,19557,0.9503613315957825,0.9675356022206131,0.9588688946015425,1.6014134275618375,1.051848443012732
Vicálvaro,2008,25-39,7988,8049,16037,5092,21129,8441,8286,16727,2830,19557,0.9463333728231252,0.9713975380159305,0.9587493274346864,1.7992932862190814,1.080380426445774
Vicálvaro,2009,25-39,7668,7729,15397,5351,20748,8441,8286,16727,2830,19557,0.9084231726098804,0.9327781800627565,0.9204878340407724,1.8908127208480565,1.0608989108759013
Vicálvaro,2010,25-39,7244,7336,14580,5377,19957,8441,8286,16727,2830,19557,0.8581921573273309,0.8853487810765146,0.871644646380104,1.9,1.0204530347190264
Vicálvaro,2011,25-39,6820,6973,13793,5223,19016,8441,8286,16727,2830,19557,0.8079611420447814,0.8415399468983829,0.8245949662222753,1.845583038869258,0.9723372705425167
Vicálvaro,2012,25-39,6396,6562,12958,4656,17614,8441,8286,16727,2830,19557,0.757730126762232,0.791938209027275,0.7746756740599031,1.6452296819787986,0.9006493838523291
Vicálvaro,2013,25-39,5865,6151,12016,4113,16129,8441,8286,16727,2830,19557,0.6948228882833788,0.7423364711561671,0.718359538470736,1.453356890459364,0.8247174924579435
Vicálvaro,2014,25-39,5414,5750,11164,3517,14681,8441,8286,16727,2830,19557,0.6413931998578367,0.6939415882210959,0.6674239253900879,1.242756183745583,0.7506775067750677
Vicálvaro,2015,25-39,5032,5354,10386,3065,13451,8441,8286,16727,2830,19557,0.5961378983532757,0.646150132754043,0.6209122974831112,1.0830388692579505,0.6877844250140615
Vicálvaro,2016,25-39,4695,4982,9677,3020,12697,8441,8286,16727,2830,19557,0.5562137187537022,0.6012551291334781,0.5785257368326657,1.0671378091872792,0.6492304545686967
